Normalized,Location
khmelnitskiy starokonstantinov,"Старокостянтинів, Хмельницька область"
rovno varash,"Вараш, Рівненська область"
poltava gadyach,"Гадяч, Полтавська область"
rovno kostopol,"Костопіль, Рівненська область"
rovno sarny,"Сарни, Рівненська область"
kiev schastlivoe_31069,"Щасливе, Київська область"
khmelnitskiy slavuta,"Славута, Хмельницька область"
odessa korsuntsy,"Корсунці, Одеська область"
nikolaev_106 voznesensk,"Вознесенськ, Миколаївська область"
kiev nemeshaevo,"Немішаєве, Київська область"
dnepr sinelnikovo,"Синельникове, Дніпропетровська область"
lutsk vladimir-volynskiy,"Володимир, Волинська область"
uzhgorod tyachev,"Тячів, Закарпатська область"
kiev pereyaslav-khmelnitskiy,"Переяслав-Хмельницький, Київська область"
dnepr volnogorsk,"Вільногірськ, Дніпропетровська область"
kiev boguslav_30867,"Богуслав, Київська область"
kropivnitskiy znamenka,"Знам'янка, Кіровоградська область"
dnepr lyubimovka_11987,"Любимівка, Дніпропетровська область"
ivano-frankovsk nadvornaya,"Надвірна, Івано-Франківська область"
kiev novye-petrovtsy,"Нові Петрівці, Київська область"
sumy romny,"Ромни, Сумська область"
kiev podgortsy,"Підгірці, Київська область"
vinnitsa khmelnik,"Хмільник, Вінницька область"
vinnitsa zhmerinka,"Жмеринка, Вінницька область"
kharkov krasnograd,"Красноград, Харківська область"
kiev borodyanka_31081,"Бородянка, Київська область"
kiev mironovka_32179,"Миронівка, Київська область"
chernovtsy novoselitsa,"Новоселиця, Чернівецька область"
lvov brody_36143,"Броди, Львівська область"
lvov pustomyty,"Пустомити, Львівська область"
lvov zhovkva_37255,"Жовква, Львівська область"
dnepr verkhnedneprovsk,"Верхньодніпровськ, Дніпропетровська область"
kiev tarasovka_31065,"Тарасівка, Київська область"
odessa limanka,"Лиманка, Одеська область"
kiev novoselki_31539,"Новосілки, Київська область"
dnepr novotaromskoe_13353,"Покров, Дніпропетровська область"
vinnitsa ladyzhin,"Ладижин, Вінницька область"
kharkov merefa,"Мерефа, Харківська область"
uzhgorod svalyava,"Свалява, Закарпатська область"
cherkassy zolotonosha,"Золотоноша, Черкаська область"
lvov novoyavorovsk_40259,"Новояворівськ, Львівська область"
vinnitsa mogilyev-podolskiy,"Могилів-Подільський, Вінницька область"
kiev uzin,"Узин, Київська область"
odessa hlebodarskoe,"Хлібодарське, Одеська область"
kiev yagotin,"Яготин, Київська область"
rovno kvasilov,"Квасилів, Рівненська область"
kharkov zmiev,"Зміїв, Харківська область"
lvov morshin,"Моршин, Львівська область"
ivano-frankovsk tysmenitsa,"Тисмениця, Івано-Франківська область"
